"NumIter", "F"
5, 0.478143945282139
5, 0.48011029411764705
5, 0.4387043407967214
5, 0.4603309831570701
5, 0.45796125506270435
5, 0.46271312759517547
5, 0.47540363085792486
5, 0.46382420244985867
5, 0.4380210098271773
5, 0.48049820777093505
5, 0.49030441400304414
5, 0.4615508365508365
5, 0.47743445692883896
5, 0.4975715390564579
5, 0.47
5, 0.4898199364481582
5, 0.4976851851851852
5, 0.46861458651205373
5, 0.5116396761133604
5, 0.5147023809523809
10, 0.5190666353457051
10, 0.5088579242968249
10, 0.5463569321533923
10, 0.4921962716081851
10, 0.5039849774949112
10, 0.5023241184077167
10, 0.5285497504936627
10, 0.47900203206141345
10, 0.5171147082911789
10, 0.4998734695844982
10, 0.4960501547223846
10, 0.4846466448607395
10, 0.5162426336591484
10, 0.497975823925191
10, 0.5004078605858361
10, 0.4806396344945745
10, 0.5110037021801728
10, 0.4960019095357441
10, 0.50997150997151
10, 0.51753660965944
15, 0.5269966200820294
15, 0.5210255544409904
15, 0.5239678298461621
15, 0.4946978105135708
15, 0.5473953013278856
15, 0.525359957961114
15, 0.48297134614851184
15, 0.5114874232521291
15, 0.5353425925925925
15, 0.5160585438053473
15, 0.5473913043478261
15, 0.5382150401931466
15, 0.5333114850238463
15, 0.5272755206882976
15, 0.5390735799620201
15, 0.5537091099633206
15, 0.5049206591394568
15, 0.5053891243746897
15, 0.5257249436936937
15, 0.5000998135191325
20, 0.5213224065967627
20, 0.5467193347193348
20, 0.5139348698032724
20, 0.5564518828451883
20, 0.4948570407769912
20, 0.4960453768782258
20, 0.5292076344707923
20, 0.549016544485839
20, 0.4698251146788991
20, 0.522209305950838
20, 0.5172956688920175
20, 0.4995245997994676
20, 0.5243338439472734
20, 0.5346511400332714
20, 0.5023475752900932
20, 0.4976138153489206
20, 0.5389321263638204
20, 0.5507363216166827
20, 0.5230946829528706
20, 0.5486724253338858
25, 0.5181474578026302
25, 0.4911519579860715
25, 0.51404233609608
25, 0.48840828491662264
25, 0.5127035830618892
25, 0.5270842635984896
25, 0.5110952040085899
25, 0.4802787635842083
25, 0.5569938208550329
25, 0.538769329262287
25, 0.5381963432321263
25, 0.530645410927101
25, 0.5056179775280899
25, 0.513215859030837
25, 0.5446140778326665
25, 0.5345083714914887
25, 0.5159835961180876
25, 0.5282948998485104
25, 0.5256959994917973
25, 0.5251701837985024
